index,building_key,class,numerical_label,description,comment
0,apartments,apartments,0,"A building arranged into individual dwellings, often on separate floors. May also have retail outlets on the ground floor.",
1,barracks,apartments,0,Buildings built to house military personnel or laborers.,
2,dormitory,apartments,0,"A shared building intended for college/university students (not a share room for multiple occupants as implied by the term in British English). Alternatively, use building=residential plus residential=university and loose the information that it is for students.",
3,detached,detached,1,"A detached house, a free-standing residential building usually housing a single family.",
4,farm,detached,1,"A residential building on a farm (farmhouse). For other buildings see below building=farm_auxiliary, building=barn,  If in your country farmhouse looks same as general residential house then you can tag as building=house as well. See also landuse=farmyard for the surrounding area",
5,semidetached_house,semidetached,2,"A residential house that shares a common wall with another on one side. Typically called a ""duplex"" in American English.",
6,terrace,terrace,3,"A single way used to define the outline of a linear row of residential dwellings, each of which normally has its own entrance, which form a terrace (""row-house"" or ""townhouse"" in North American English). Consider defining each dwelling separately using 'house'.",
7,house,terrace,3,"A dwelling unit inhabited by a single household (a family or small group sharing facilities such as a kitchen). Houses forming half of a semi-detached pair, or one of a row of terraced houses, should share at least two nodes with joined neighbours, thereby defining the party wall between the properties.",
8,industrial,industrial,4,A building for industrial purposes. Use warehouse if the purpose is known to be primarily for storage/distribution. Consider using landuse=industrial for the surrounding area and appropriate tags like man_made=works to describe the industrial activity.,
9,electricity,industrial,4,,"Tag not in OSM guidelines, but the guidlines generally seem to lack buildings related to energy generation. So we include this"
10,warehouse,industrial,4,A building primarily intended for the storage or goods or as part of a distribution system.,"consideration: not distinguishable from industrial in OSM, therefore assign to industrial category"
11,hotel,commercial,5,A building designed with separate rooms available for overnight accommodation. Normally used in conjunction with tourism=hotel for the hotel grounds including recreation areas and parking.,
12,commercial,commercial,5,"A building for non-specific commercial activities, not necessarily an office building. Consider tagging the surrounding area using landuse=commercial if there is such use. Use 'retail' if the building consists primarily of shops.",
13,kiosk,commercial,5,A small one-room retail building.,
14,office,commercial,5,An office building. Use office=* where applicable for the business(es) that use the building. Consider tagging the surrounding area using landuse=commercial if it applies. Prefer landuse=retail if the building consists primarily of shops.,
15,retail,commercial,5,"A building primarily used for selling goods that are sold to the public; use shop=* to identify the sort of goods sold or an appropriate amenity=* (pub, cafe, restaurant, etc.). Consider use landuse=retail for the surrounding area.",
16,supermarket,commercial,5,A building constructed to house a self-service large-area store.,
17,religious,public,6,Unspecific building related to religion. Prefer more specific values if possible.,
18,cathedral,public,6,"A building that was built as a cathedral. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the cathedral grounds where it is in current use.",
19,chapel,public,6,"A building that was built as a chapel. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the chapel grounds where it is in current use.",
20,church,public,6,"A building that was built as a church. Used in conjunction with amenity=place_of_worship, religion=* , denomination=* and landuse=religious for the church grounds where it is in current use.",
21,kingdom_hall,public,6,"A building that was built as a Kingdom Hall. Often used in conjunction with amenity=place_of_worship, religion=christian, denomination=jehovahs_witness and landuse=religious for the grounds where it is in current use.",
22,monastery,public,6,"A building constructed as monastery. Often, monasteries consist of several distinct buildings with specific functions. For active monasteries (communities), use amenity=monastery, for the grounds of a former monastery, have a look at historic=monastery",
23,mosque,public,6,"A building errected as mosque. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the grounds where it is in current use.",
24,presbytery,public,6,A building where priests live and work.,
25,synagogue,public,6,"A building that was built as a synagogue. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the grounds where it is in current use.",
26,temple,public,6,"A building that was built as a temple. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the grounds where it is in current use.",
27,civic,public,6,"A generic tag for a building created to house some civic amenity, for example amenity=community_centre, amenity=library, amenity=toilets, leisure=sports_centre, leisure=swimming_pool, amenity=townhall etc. Use amenity=* or leisure=* etc. to provide further details. See building=public and more specific tags like building=library as well.",
28,college,public,6,A college building. Use amenity=college on the whole college area to represent the college as an institution.,
29,fire_station,public,6,"	A building constructed as fire station, i.e. to house fire fighting equipment and officers, regardless of current use. Add amenity=fire_station on the grounds for an active fire station.",
30,government,public,6,"For government buildings in general, including municipal, provincial and divisional secretaries, government agencies and departments, town halls, (regional) parliaments and court houses.",
31,gatehouse,public,6,"An entry control point building, spanning over a highway that enters a city or compound.",
32,hospital,public,6,A building errected for a hospital. Use amenity=hospital for the hospital grounds.,
33,kindergarten,public,6,"For any generic kindergarten buildings. Buildings for specific uses (sports halls etc.) should be tagged for their purpose. If there is currently a kindergarten in the building, use amenity=kindergarten on the perimeter of the kindergarten grounds.",
34,museum,public,6,A building which was designed as a museum.,
35,public,public,6,"A building constructed as accessible to the general public (a town hall, police station, court house, etc.).",
